N,Tree,Avg_Node_Visits,Build_Time(s)
500,R-tree,23.65,0.013465166091918945
500,R*-tree,21.02,0.03146219253540039
1000,R-tree,35.36,0.03244495391845703
1000,R*-tree,31.85,0.07713913917541504
2000,R-tree,55.74,0.07675504684448242
2000,R*-tree,50.92,0.1813497543334961
5000,R-tree,114.52,0.23196887969970703
5000,R*-tree,113.04,0.5562739372253418
